start_station_id,start_station_name,start_lat,start_lng
6907.03,46 St & 25 Ave,40.765753,-73.90676
6842.02,46 St & 28 Ave,40.763328,-73.908782
6703.06,46 St & 30 Rd,40.76072,-73.910989
3161.02,46 St & 6 Ave,40.645921,-74.005708
3117.05,46 St & 7 Ave,40.644743,-74.003754
6209.08,46 St & Queens Blvd,40.74349759836971,-73.91860529780388
6295.07,47 Ave & 104 St,40.7458,-73.85945
6329.06,47 Ave & 109 St,40.74713,-73.85502
6151.03,47 Ave & 31 St,40.743,-73.93561
6092.01,47 Ave & 48 St,40.74086,-73.91708
6237.01,47 Ave & Skillman Ave,40.7437524099784,-73.94176483154297
3243.02,47 St & 3 Ave,40.649143,-74.012384
6067.01,48 Ave & 37 St,40.74034668087185,-73.92886072397232
6101.11,48 Ave & 41 St,40.73985995699164,-73.92400324344635
6212.04,48 Ave & 5 St,40.74436328706688,-73.9558732509613
3283.05,48 St & 2 Ave,40.650176,-74.015606
6435.02,48 St & 37 Ave,40.751555,-73.915026
3202.06,48 St & 5 Ave,40.646351,-74.009271
6016.06,48 St & 50 Ave,40.73737,-73.91803
6358.05,48 St & Barnett Ave,40.75001640425933,-73.91540944576263
6629.06,48 St & Broadway,40.755763,-73.912715
6283.05,48 St & Skillman Ave,40.74622874694195,-73.91616314649582
6255.02,49 Ave & 108 St,40.74535,-73.8558
6128.04,49 Ave & 21 St,40.74252,-73.948852
6119.01,49 Ave & 27 St,40.74113,-73.942518
6804.01,49 St & 25 Ave,40.764496,-73.904632
6662.01,49 St & 31 Ave,40.758057,-73.909831
3987.06,5 Ave & 3 St,40.6728155,-73.98352355
3379.03,5 Ave & 37 St,40.652657,-74.002356
3306.03,5 Ave & 41 St,40.649983,-74.005144
3233.02,5 Ave & 44 St,40.64865,-74.00646
2782.02,5 Ave & 67 St,40.635679,-74.020005
7511.19,5 Ave & E 103 St,40.7922553,-73.95249933
7769.06,5 Ave & E 135 St,40.812191,-73.937838
6248.08,5 Ave & E 30 St,40.7459849,-73.98629487
6904.06,5 Ave & E 63 St,40.766368,-73.971518
7100.07,5 Ave & E 72 St,40.77282817,-73.96685276
7161.08,5 Ave & E 78 St,40.77632142182271,-73.96427392959595
7323.09,5 Ave & E 87 St,40.78232260730881,-73.95987510681152
7701.21,5 Ave & W 126 St,40.80722,-73.9418
7735.05,5 Ave & W 131 St,40.81014,-73.93973
7851.04,5 Ave & W 139 St,40.815484,-73.935856
6137.04,5 St & 51 Ave,40.7423737,-73.9566
3874.01,5 St & 6 Ave,40.6704836,-73.98208968
4843.01,5 St & Market St,40.6999974843885,-73.97440128028393
5956.05,50 Ave & 65 St,40.73707,-73.90077
6735.03,50 St & 30 Ave,40.760083,-73.907107
3038.08,50 St & 7 Ave,40.642501,-74.006055
6435.03,50 St & Barnett Ave,40.750097682094825,-73.91349703073502
6511.03,50 St & Northern Blvd,40.753441,-73.912402
5923.02,51 Ave & 61 St,40.73568,-73.90387
6180.05,51 Ave & Alstyne Ave,40.74311,-73.85715
6113.07,51 Ave & Junction Blvd,40.74087,-73.86772
6047.03,51 Ave & Van Loon St,40.73832,-73.87913
6242.10,51 St & 43 Ave,40.74451,-73.91412
6662.09,51 St & Hobart St,40.75767234025041,-73.90769943594933
6167.03,51 St & Queens Blvd,40.7429,-73.91395
3253.01,52 St & 1 Ave,40.649292,-74.020105
3084.05,52 St & 6 Ave,40.642703,-74.009441
5806.01,53 Ave & 62 St,40.73169,-73.90159
6037.02,53 Ave & 94 St,40.73921,-73.86887
3211.06,53 St & 2 Ave,40.64744,-74.018846
3169.07,53 St & 4 Ave,40.644862,-74.014531
3129.08,53 St & 5 Ave,40.643371,-74.011884
5257.01,53 St & Flushing Ave,40.71435,-73.91405
6200.03,53 St & Roosevelt Ave,40.74462,-73.91143
6468.01,54 St & 37 Ave,40.75098,-73.90799
6005.04,55 Ave & 90 St,40.73676,-73.87318
6070.05,55 Ave & 97 Pl,40.73892,-73.86367
6104.01,55 Ave & Center Blvd,40.740288,-73.960697
5579.04,55 Dr & Maurice Ave,40.7261,-73.90917
